feature,shap_importance,lgb_importance,rank_shap,rank_lgb,rank_diff
Relationship,1.0928074774117726,158,1.0,7.0,6.0
Age,0.7528915662306502,407,2.0,1.0,1.0
Capital Gain,0.5854033153814373,402,3.0,2.0,1.0
Education-Num,0.49930043012559217,337,4.0,3.0,1.0
Hours per week,0.33569260778638876,313,5.0,4.0,1.0
Occupation,0.28081557377447225,234,6.0,6.0,0.0
Marital Status,0.20531139055346864,97,7.0,9.0,2.0
Sex,0.13654493691575834,42,8.0,11.0,3.0
Capital Loss,0.13099709446777433,245,9.0,5.0,4.0
Workclass,0.05499564089942198,101,10.0,8.0,2.0
Race,0.04013569766132065,41,11.0,12.0,1.0
Country,0.018480123547860165,70,12.0,10.0,2.0
